,NID,Return,Function,Params
53,0x884c9f90,,sceKernelTrySendMsgPipe,
54,0x74829b76,,sceKernelReceiveMsgPipe,
55,0xfbfa697d,,sceKernelReceiveMsgPipeCB,
56,0xdf52098f,,sceKernelTryReceiveMsgPipe,
57,0x349b864d,,sceKernelCancelMsgPipe,
58,0x33be4024,,sceKernelReferMsgPipeStatus,
59,0x56c039b5,,sceKernelCreateVpl,
60,0x89b3d48c,,sceKernelDeleteVpl,
61,0xbed27435,,sceKernelAllocateVpl,
62,0xec0a693f,,sceKernelAllocateVplCB,
63,0xaf36d708,,sceKernelTryAllocateVpl,
64,0xb736e9ff,,sceKernelFreeVpl,
65,0x1d371b8a,,sceKernelCancelVpl,
66,0x39810265,,sceKernelReferVplStatus,
67,0xc07bb470,,sceKernelCreateFpl,
68,0xed1410e0,,sceKernelDeleteFpl,
69,0xd979e9bf,,sceKernelAllocateFpl,
70,0xe7282cb6,,sceKernelAllocateFplCB,
71,0x623ae665,,sceKernelTryAllocateFpl,
72,0xf6414a71,,sceKernelFreeFpl,
73,0xa8aa591f,,sceKernelCancelFpl,
74,0xd8199e4c,,sceKernelReferFplStatus,
75,0x0e927aed,,_sceKernelReturnFromTimerHandler,
76,0x110dec9a,,sceKernelUSec2SysClock,
77,0xc8cd158c,,sceKernelUSec2SysClockWide,
78,0xba6b92e2,,sceKernelSysClock2USec,
79,0xe1619d7c,,sceKernelSysClock2USecWide,
80,0xdb738f35,,sceKernelGetSystemTime,
81,0x82bc5777,,sceKernelGetSystemTimeWide,
82,0x369ed59d,,sceKernelGetSystemTimeLow,
83,0x6652b8ca,,sceKernelSetAlarm,
84,0xb2c25152,,sceKernelSetSysClockAlarm,
85,0x7e65b999,,sceKernelCancelAlarm,
86,0xdaa3f564,,sceKernelReferAlarmStatus,
87,0x20fff560,,sceKernelCreateVTimer,
88,0x328f9e52,,sceKernelDeleteVTimer,
89,0xb3a59970,,sceKernelGetVTimerBase,
90,0xb7c18b77,,sceKernelGetVTimerBaseWide,
91,0x034a921f,,sceKernelGetVTimerTime,
92,0xc0b3ffd2,,sceKernelGetVTimerTimeWide,
93,0x542ad630,,sceKernelSetVTimerTime,
94,0xfb6425c3,,sceKernelSetVTimerTimeWide,
95,0xc68d9437,,sceKernelStartVTimer,
96,0xd0aeee87,,sceKernelStopVTimer,
97,0xd8b299ae,,sceKernelSetVTimerHandler,
98,0x53b00e9a,,sceKernelSetVTimerHandlerWide,
99,0xd2d615ef,,sceKernelCancelVTimerHandler,
100,0x5f32beaa,,sceKernelReferVTimerStatus,
101,0x446d8de6,SceUID,sceKernelCreateThread,"const char *name,SceKernelThreadEntry entry,int initPriority,int stackSize,SceUInt attr,SceKernelThreadOptParam *option"
102,0x9fa03cd3,int,sceKernelDeleteThread,SceUID thid
103,0xf475845d,int,sceKernelStartThread,"SceUID thid,SceSize arglen,void *argp"
104,0x532a522e,,_sceKernelExitThread,
105,0xaa73c935,int,sceKernelExitThread,int status
106,0x809ce29b,int,sceKernelExitDeleteThread,int status
107,0x616403ba,int,sceKernelTerminateThread,SceUID thid
108,0x383f7bcc,int,sceKernelTerminateDeleteThread,SceUID thid
109,0x3ad58b8c,,sceKernelSuspendDispatchThread,
110,0x27e22ec2,,sceKernelResumeDispatchThread,
111,0xea748e31,int,sceKernelChangeCurrentThreadAttr,"int unknown,SceUInt attr"
112,0x71bc9871,int,sceKernelChangeThreadPriority,"SceUID thid,int priority"
113,0x912354a7,,sceKernelRotateThreadReadyQueue,
114,0x2c34e053,,sceKernelReleaseWaitThread,
115,0x293b45b8,int,sceKernelGetThreadId,void
116,0x94aa61ee,,sceKernelGetThreadCurrentPriority,
117,0x3b183e26,,sceKernelGetThreadExitStatus,
118,0xd13bde95,,sceKernelCheckThreadStack,
119,0x52089ca1,,sceKernelGetThreadStackFreeSize,
120,0x17c1684e,int,sceKernelReferThreadStatus,"SceUID thid,SceKernelThreadInfo *info"
121,0xffc36a14,int,sceKernelReferThreadRunStatus,"SceUID thid,SceKernelThreadRunStatus *status"
122,0x627e6f3a,int,sceKernelReferSystemStatus,SceKernelSystemStatus *status
123,0x94416130,int,sceKernelGetThreadmanIdList,"enum SceKernelIdListType type,SceUID *readbuf,int readbufsize,int *idcount"
124,0x57cf62dd,,sceKernelGetThreadmanIdType,
125,0x64d4540e,,sceKernelReferThreadProfiler,
126,0x8218b4dd,,sceKernelReferGlobalProfiler,
